id,CueIndex
1,VO_CHR_120181_STORY_0001
2,VO_CHR_120181_STORY_0002
3,VO_CHR_120181_STORY_0003
4,VO_CHR_120181_STORY_0004
5,VO_CHR_120181_STORY_0005
6,VO_CHR_120181_STORY_0006
7,VO_CHR_120181_STORY_0007
8,VO_CHR_120181_STORY_0008
9,VO_CHR_120181_STORY_0009
10,VO_CHR_120181_STORY_0010
11,VO_CHR_120181_STORY_0011
12,VO_CHR_120181_STORY_0016
13,VO_CHR_120181_STORY_0019
14,VO_CHR_120181_STORY_0023
15,VO_CHR_120181_STORY_0027
16,VO_CHR_120181_STORY_0030
17,VO_CHR_120181_STORY_0033
18,VO_CHR_120181_STORY_0039
19,VO_CHR_120181_STORY_0042
20,VO_CHR_120181_STORY_0045
21,VO_CHR_120181_STORY_0047
22,VO_CHR_120181_STORY_0049
23,VO_CHR_120181_STORY_0053
24,VO_CHR_120181_STORY_0058
25,VO_CHR_120181_STORY_0066
26,VO_CHR_120181_STORY_0071
