id,CueIndex
1,VO_CHR_INGAMESTORY_05_02_0001
2,VO_CHR_INGAMESTORY_05_02_0003
3,VO_CHR_INGAMESTORY_05_02_0004
4,VO_CHR_INGAMESTORY_05_02_0005
5,VO_CHR_INGAMESTORY_05_02_0008
6,VO_CHR_INGAMESTORY_05_02_0009
7,VO_CHR_INGAMESTORY_05_02_0010
8,VO_CHR_INGAMESTORY_05_02_0011
9,VO_CHR_INGAMESTORY_05_02_0012
10,VO_CHR_INGAMESTORY_05_02_0013
11,VO_CHR_INGAMESTORY_05_02_0015
12,VO_CHR_INGAMESTORY_05_02_0017
13,VO_CHR_INGAMESTORY_05_02_0018
14,VO_CHR_INGAMESTORY_05_02_0019
15,VO_CHR_INGAMESTORY_05_02_0020
16,VO_CHR_INGAMESTORY_05_02_0021
17,VO_CHR_INGAMESTORY_05_02_1001
18,VO_CHR_INGAMESTORY_05_02_1002
19,VO_CHR_INGAMESTORY_05_02_1003
20,VO_CHR_INGAMESTORY_05_02_1004
21,VO_CHR_INGAMESTORY_05_02_1005
22,VO_CHR_INGAMESTORY_05_02_1006
23,VO_CHR_INGAMESTORY_05_02_1007
24,VO_CHR_INGAMESTORY_05_02_1008
25,VO_CHR_INGAMESTORY_05_02_1009
26,VO_CHR_INGAMESTORY_05_02_1010
27,VO_CHR_INGAMESTORY_05_02_1011
28,VO_CHR_INGAMESTORY_05_02_1012
29,VO_CHR_INGAMESTORY_05_02_1013
30,VO_CHR_INGAMESTORY_05_02_1014
