id,CueIndex
1,VO_CHR_MAINSTORY_08_03_0001
2,VO_CHR_MAINSTORY_08_03_0002
3,VO_CHR_MAINSTORY_08_03_0003
4,VO_CHR_MAINSTORY_08_03_0004
5,VO_CHR_MAINSTORY_08_03_0005
6,VO_CHR_MAINSTORY_08_03_0006
7,VO_CHR_MAINSTORY_08_03_0007
8,VO_CHR_MAINSTORY_08_03_0008
9,VO_CHR_MAINSTORY_08_03_0009
10,VO_CHR_MAINSTORY_08_03_0010
11,VO_CHR_MAINSTORY_08_03_0011
12,VO_CHR_MAINSTORY_08_03_0012
13,VO_CHR_MAINSTORY_08_03_0013
14,VO_CHR_MAINSTORY_08_03_0014
15,VO_CHR_MAINSTORY_08_03_0015
16,VO_CHR_MAINSTORY_08_03_0016
17,VO_CHR_MAINSTORY_08_03_0017
18,VO_CHR_MAINSTORY_08_03_0018
19,VO_CHR_MAINSTORY_08_03_0019
20,VO_CHR_MAINSTORY_08_03_0020
21,VO_CHR_MAINSTORY_08_03_0021
22,VO_CHR_MAINSTORY_08_03_0022
23,VO_CHR_MAINSTORY_08_03_0023
24,VO_CHR_MAINSTORY_08_03_0024
25,VO_CHR_MAINSTORY_08_03_0025
26,VO_CHR_MAINSTORY_08_03_0026
27,VO_CHR_MAINSTORY_08_03_0027
28,VO_CHR_MAINSTORY_08_03_0028
29,VO_CHR_MAINSTORY_08_03_0029
30,VO_CHR_MAINSTORY_08_03_0030
31,VO_CHR_MAINSTORY_08_03_0031
32,VO_CHR_MAINSTORY_08_03_0032
33,VO_CHR_MAINSTORY_08_03_0033
34,VO_CHR_MAINSTORY_08_03_0034
35,VO_CHR_MAINSTORY_08_03_0035
36,VO_CHR_MAINSTORY_08_03_0036
37,VO_CHR_MAINSTORY_08_03_0037
38,VO_CHR_MAINSTORY_08_03_0038
39,VO_CHR_MAINSTORY_08_03_1001
40,VO_CHR_MAINSTORY_08_03_1002
41,VO_CHR_MAINSTORY_08_03_1003
42,VO_CHR_MAINSTORY_08_03_1004
43,VO_CHR_MAINSTORY_08_03_1005
44,VO_CHR_MAINSTORY_08_03_1006
45,VO_CHR_MAINSTORY_08_03_1007
46,VO_CHR_MAINSTORY_08_03_1008
47,VO_CHR_MAINSTORY_08_03_1009
48,VO_CHR_MAINSTORY_08_03_1010
49,VO_CHR_MAINSTORY_08_03_1011
50,VO_CHR_MAINSTORY_08_03_1012
51,VO_CHR_MAINSTORY_08_03_1013
52,VO_CHR_MAINSTORY_08_03_1014
53,VO_CHR_MAINSTORY_08_03_1015
54,VO_CHR_MAINSTORY_08_03_1016
55,VO_CHR_MAINSTORY_08_03_1017
56,VO_CHR_MAINSTORY_08_03_1018
57,VO_CHR_MAINSTORY_08_03_1019
58,VO_CHR_MAINSTORY_08_03_1020
59,VO_CHR_MAINSTORY_08_03_1021
60,VO_CHR_MAINSTORY_08_03_1022
61,VO_CHR_MAINSTORY_08_03_1023
62,VO_CHR_MAINSTORY_08_03_1024
63,VO_CHR_MAINSTORY_08_03_1025
64,VO_CHR_MAINSTORY_08_03_1026
65,VO_CHR_MAINSTORY_08_03_1027
66,VO_CHR_MAINSTORY_08_03_1028
67,VO_CHR_MAINSTORY_08_03_1029
68,VO_CHR_MAINSTORY_08_03_1030
69,VO_CHR_MAINSTORY_08_03_1031
70,VO_CHR_MAINSTORY_08_03_1032
71,VO_CHR_MAINSTORY_08_03_1033
72,VO_CHR_MAINSTORY_08_03_1034
73,VO_CHR_MAINSTORY_08_03_1035
74,VO_CHR_MAINSTORY_08_03_1036
75,VO_CHR_MAINSTORY_08_03_1037
76,VO_CHR_MAINSTORY_08_03_1038
77,VO_CHR_MAINSTORY_08_03_1039
78,VO_CHR_MAINSTORY_08_03_1040
79,VO_CHR_MAINSTORY_08_03_1041
80,VO_CHR_MAINSTORY_08_03_1042
81,VO_CHR_MAINSTORY_08_03_1043
82,VO_CHR_MAINSTORY_08_03_1044
83,VO_CHR_MAINSTORY_08_03_1045
84,VO_CHR_MAINSTORY_08_03_1046
